"fecha","cotizacion"
17/05/2013,"12.31770"
20/05/2013,"12.32580"
21/05/2013,"12.34140"
22/05/2013,"12.31130"
23/05/2013,"12.47640"
24/05/2013,"12.52190"
27/05/2013,"12.48310"
28/05/2013,"12.52750"
29/05/2013,"12.63280"
30/05/2013,"12.77810"
31/05/2013,"12.80350"
03/06/2013,"12.78820"
04/06/2013,"12.73170"
05/06/2013,"12.81670"
06/06/2013,"12.90790"
07/06/2013,"12.71730"
10/06/2013,"12.85720"
11/06/2013,"12.88460"
12/06/2013,"12.84420"
13/06/2013,"12.78120"
14/06/2013,"12.69160"
17/06/2013,"12.73700"
18/06/2013,"12.88000"
19/06/2013,"12.86950"
20/06/2013,"13.40150"
21/06/2013,"13.40410"
24/06/2013,"13.39660"
25/06/2013,"13.24240"
26/06/2013,"13.18840"
27/06/2013,"13.02350"
28/06/2013,"13.02790"
01/07/2013,"12.91310"
02/07/2013,"12.98500"
03/07/2013,"13.03770"
04/07/2013,"12.89020"
05/07/2013,"13.05670"
08/07/2013,"12.92670"
09/07/2013,"12.86540"
10/07/2013,"12.94940"
11/07/2013,"12.85990"
12/07/2013,"12.82340"
15/07/2013,"12.73870"
16/07/2013,"12.62990"
17/07/2013,"12.54550"
18/07/2013,"12.49760"
19/07/2013,"12.54990"
22/07/2013,"12.50540"
23/07/2013,"12.50930"
24/07/2013,"12.63300"
25/07/2013,"12.64680"
26/07/2013,"12.70910"
29/07/2013,"12.73210"
30/07/2013,"12.76350"
31/07/2013,"12.84640"
01/08/2013,"12.80680"
02/08/2013,"12.69040"
05/08/2013,"12.67590"
06/08/2013,"12.64450"
07/08/2013,"12.69890"
08/08/2013,"12.64600"
09/08/2013,"12.58890"
12/08/2013,"12.56660"
13/08/2013,"12.75450"
14/08/2013,"12.72550"
15/08/2013,"12.86250"
16/08/2013,"12.87220"
19/08/2013,"13.01240"
20/08/2013,"13.00640"
21/08/2013,"13.14240"
22/08/2013,"13.14860"
23/08/2013,"12.99790"
26/08/2013,"13.10900"
27/08/2013,"13.33660"
28/08/2013,"13.25390"
29/08/2013,"13.31040"
30/08/2013,"13.34150"
02/09/2013,"13.30700"
03/09/2013,"13.43940"
04/09/2013,"13.30650"
05/09/2013,"13.40790"
06/09/2013,"13.24130"
09/09/2013,"13.14710"
10/09/2013,"13.11190"
11/09/2013,"13.09380"
12/09/2013,"13.08540"
13/09/2013,"13.05400"
17/09/2013,"12.92410"
18/09/2013,"12.96870"
19/09/2013,"12.71790"
20/09/2013,"12.76850"
23/09/2013,"12.78460"
24/09/2013,"12.87540"
25/09/2013,"12.95300"
26/09/2013,"13.01190"
27/09/2013,"13.14500"
30/09/2013,"13.17470"
01/10/2013,"13.12940"
02/10/2013,"13.15930"
03/10/2013,"13.26630"
04/10/2013,"13.09760"
07/10/2013,"13.09590"
08/10/2013,"13.14170"
09/10/2013,"13.21260"
10/10/2013,"13.09130"
11/10/2013,"13.05140"
14/10/2013,"13.04920"
15/10/2013,"12.97250"
16/10/2013,"12.88160"
17/10/2013,"12.77170"
18/10/2013,"12.79880"
21/10/2013,"12.93140"
22/10/2013,"12.87130"
23/10/2013,"12.94330"
24/10/2013,"12.99160"
25/10/2013,"12.86930"
28/10/2013,"12.89480"
29/10/2013,"12.89030"
30/10/2013,"12.86400"
31/10/2013,"13.00670"
01/11/2013,"13.07890"
04/11/2013,"12.98690"
05/11/2013,"13.13410"
06/11/2013,"13.13880"
07/11/2013,"13.19120"
08/11/2013,"13.24120"
11/11/2013,"13.23140"
12/11/2013,"13.18790"
13/11/2013,"13.10300"
14/11/2013,"13.01730"
15/11/2013,"12.95240"
19/11/2013,"12.88690"
20/11/2013,"12.96970"
21/11/2013,"13.06170"
22/11/2013,"13.02230"
25/11/2013,"13.02670"
26/11/2013,"13.07450"
27/11/2013,"13.09250"
28/11/2013,"13.08360"
29/11/2013,"13.11010"
02/12/2013,"13.20410"
03/12/2013,"13.23720"
04/12/2013,"13.08260"
05/12/2013,"13.00570"
06/12/2013,"12.92990"
09/12/2013,"12.86120"
10/12/2013,"12.85740"
11/12/2013,"12.93420"
13/12/2013,"12.95150"
16/12/2013,"12.94390"
17/12/2013,"12.95750"
18/12/2013,"12.99370"
19/12/2013,"12.97300"
20/12/2013,"12.95740"
23/12/2013,"12.96100"
24/12/2013,"13.02000"
26/12/2013,"13.05470"
27/12/2013,"13.07650"
30/12/2013,"13.06520"
31/12/2013,"13.08430"
02/01/2014,"13.10110"
03/01/2014,"13.09110"
06/01/2014,"13.09050"
07/01/2014,"13.03370"
08/01/2014,"13.08460"
09/01/2014,"13.14030"
10/01/2014,"13.00650"
13/01/2014,"12.98890"
14/01/2014,"13.09560"
15/01/2014,"13.16890"
16/01/2014,"13.29070"
17/01/2014,"13.27370"
20/01/2014,"13.24200"
21/01/2014,"13.29840"
22/01/2014,"13.31940"
23/01/2014,"13.37220"
24/01/2014,"13.49300"
27/01/2014,"13.44080"
28/01/2014,"13.31040"
29/01/2014,"13.36710"
30/01/2014,"13.32070"
31/01/2014,"13.37690"
04/02/2014,"13.39280"
05/02/2014,"13.37050"
06/02/2014,"13.22110"
07/02/2014,"13.32850"
10/02/2014,"13.31340"
11/02/2014,"13.29160"
12/02/2014,"13.30560"
13/02/2014,"13.33200"
14/02/2014,"13.24770"
17/02/2014,"13.19490"
18/02/2014,"13.22610"
19/02/2014,"13.27140"
20/02/2014,"13.29130"
21/02/2014,"13.27040"
24/02/2014,"13.20900"
25/02/2014,"13.22480"
26/02/2014,"13.29920"
27/02/2014,"13.30660"
28/02/2014,"13.23790"
03/03/2014,"13.32010"
04/03/2014,"13.27520"
05/03/2014,"13.25190"
06/03/2014,"13.14760"
07/03/2014,"13.17950"
10/03/2014,"13.22480"
11/03/2014,"13.24300"
12/03/2014,"13.26590"
13/03/2014,"13.24560"
14/03/2014,"13.23400"
18/03/2014,"13.16750"
19/03/2014,"13.16950"
20/03/2014,"13.27030"
21/03/2014,"13.22000"
24/03/2014,"13.20190"
25/03/2014,"13.13490"
26/03/2014,"13.12730"
27/03/2014,"13.08370"
28/03/2014,"13.08410"
31/03/2014,"13.05490"
01/04/2014,"13.03130"
02/04/2014,"13.09910"
03/04/2014,"13.13240"
04/04/2014,"13.03450"
07/04/2014,"13.01790"
08/04/2014,"12.96420"
09/04/2014,"13.06040"
10/04/2014,"13.04530"
11/04/2014,"13.07880"
14/04/2014,"13.04930"
15/04/2014,"13.09860"
16/04/2014,"13.06030"
21/04/2014,"13.04130"
22/04/2014,"13.04480"
23/04/2014,"13.09080"
24/04/2014,"13.10100"
25/04/2014,"13.13710"
28/04/2014,"13.13560"
29/04/2014,"13.10390"
30/04/2014,"13.09010"
02/05/2014,"12.99810"
05/05/2014,"13.01020"
06/05/2014,"13.01290"
07/05/2014,"12.98760"
08/05/2014,"12.94770"
09/05/2014,"12.98430"
12/05/2014,"12.95340"
13/05/2014,"12.92340"
14/05/2014,"12.89930"
15/05/2014,"12.97550"
16/05/2014,"12.91930"
19/05/2014,"12.89440"
20/05/2014,"12.94250"
21/05/2014,"12.91320"
22/05/2014,"12.88010"
23/05/2014,"12.86560"
26/05/2014,"12.86160"
27/05/2014,"12.87720"
28/05/2014,"12.86600"
29/05/2014,"12.84620"
30/05/2014,"12.86090"
02/06/2014,"12.91080"
03/06/2014,"12.94470"
04/06/2014,"12.95270"
05/06/2014,"12.88680"
